tensor(155.5880, grad_fn=<MseLossBackward>)
tensor(32.5892, grad_fn=<MseLossBackward>)
tensor(158.3820, grad_fn=<MseLossBackward>)
tensor(217.3822, grad_fn=<MseLossBackward>)
tensor(134.3885, grad_fn=<MseLossBackward>)
tensor(125.2458, grad_fn=<MseLossBackward>)
tensor(1125.6788, grad_fn=<MseLossBackward>)
tensor(339.5789, grad_fn=<MseLossBackward>)
tensor(1042.8508, grad_fn=<MseLossBackward>)
tensor(1268.2097, grad_fn=<MseLossBackward>)
tensor(298.9962, grad_fn=<MseLossBackward>)
tensor(2127.8943, grad_fn=<MseLossBackward>)
tensor(1622.1437, grad_fn=<MseLossBackward>)
tensor(493.9872, grad_fn=<MseLossBackward>)
tensor(749.8176, grad_fn=<MseLossBackward>)
tensor(815.1249, grad_fn=<MseLossBackward>)
tensor(479.5308, grad_fn=<MseLossBackward>)
tensor(671.4750, grad_fn=<MseLossBackward>)
tensor(535.5671, grad_fn=<MseLossBackward>)
tensor(928.1145, grad_fn=<MseLossBackward>)
tensor(1862.9198, grad_fn=<MseLossBackward>)
tensor(443.5565, grad_fn=<MseLossBackward>)
tensor(526.0493, grad_fn=<MseLossBackward>)
tensor(759.6217, grad_fn=<MseLossBackward>)
tensor(396.5145, grad_fn=<MseLossBackward>)
tensor(1607.7255, grad_fn=<MseLossBackward>)
tensor(379.3268, grad_fn=<MseLossBackward>)
tensor(369.0841, grad_fn=<MseLossBackward>)
tensor(924.3884, grad_fn=<MseLossBackward>)
tensor(516.7490, grad_fn=<MseLossBackward>)
tensor(1461.5956, grad_fn=<MseLossBackward>)
tensor(874.0936, grad_fn=<MseLossBackward>)
tensor(153.7616, grad_fn=<MseLossBackward>)
tensor(2082.2976, grad_fn=<MseLossBackward>)
tensor(345.2405, grad_fn=<MseLossBackward>)
tensor(142.3604, grad_fn=<MseLossBackward>)
tensor(2831.3181, grad_fn=<MseLossBackward>)
tensor(418.8377, grad_fn=<MseLossBackward>)
tensor(240.4780, grad_fn=<MseLossBackward>)
tensor(3557.9097, grad_fn=<MseLossBackward>)
tensor(220.5731, grad_fn=<MseLossBackward>)
tensor(1576.2211, grad_fn=<MseLossBackward>)
tensor(4250.8066, grad_fn=<MseLossBackward>)
tensor(1073.2560, grad_fn=<MseLossBackward>)
tensor(1443.9794, grad_fn=<MseLossBackward>)
tensor(945.3203, grad_fn=<MseLossBackward>)
tensor(507.7395, grad_fn=<MseLossBackward>)
tensor(2750.2441, grad_fn=<MseLossBackward>)
tensor(1416.6663, grad_fn=<MseLossBackward>)
tensor(2144.1621, grad_fn=<MseLossBackward>)
tensor(5426.8511, grad_fn=<MseLossBackward>)
tensor(644.7640, grad_fn=<MseLossBackward>)
tensor(1249.8303, grad_fn=<MseLossBackward>)
tensor(171.4298, grad_fn=<MseLossBackward>)
tensor(606.1398, grad_fn=<MseLossBackward>)
tensor(896.1039, grad_fn=<MseLossBackward>)
tensor(1352.3151, grad_fn=<MseLossBackward>)
tensor(7872.4839, grad_fn=<MseLossBackward>)
tensor(638.1893, grad_fn=<MseLossBackward>)
tensor(754.9722, grad_fn=<MseLossBackward>)
tensor(1003.4227, grad_fn=<MseLossBackward>)
tensor(1509.6757, grad_fn=<MseLossBackward>)
tensor(4769.1074, grad_fn=<MseLossBackward>)
tensor(2327.2163, grad_fn=<MseLossBackward>)
tensor(304.3903, grad_fn=<MseLossBackward>)
tensor(174.1299, grad_fn=<MseLossBackward>)
tensor(1501.7910, grad_fn=<MseLossBackward>)
tensor(310.7297, grad_fn=<MseLossBackward>)
tensor(2762.3286, grad_fn=<MseLossBackward>)
tensor(705.2117, grad_fn=<MseLossBackward>)
tensor(1596.8416, grad_fn=<MseLossBackward>)
tensor(2465.7373, grad_fn=<MseLossBackward>)
tensor(2957.2832, grad_fn=<MseLossBackward>)
tensor(761.6463, grad_fn=<MseLossBackward>)
tensor(655.2606, grad_fn=<MseLossBackward>)
tensor(1582.5629, grad_fn=<MseLossBackward>)
tensor(2066.8118, grad_fn=<MseLossBackward>)
tensor(1024.4177, grad_fn=<MseLossBackward>)
tensor(3724.6521, grad_fn=<MseLossBackward>)
tensor(973.4476, grad_fn=<MseLossBackward>)
tensor(2171.3213, grad_fn=<MseLossBackward>)
tensor(700.6978, grad_fn=<MseLossBackward>)
tensor(2888.2556, grad_fn=<MseLossBackward>)
tensor(138.8429, grad_fn=<MseLossBackward>)
tensor(3098.1519, grad_fn=<MseLossBackward>)
tensor(1152.5310, grad_fn=<MseLossBackward>)
tensor(1325.7249, grad_fn=<MseLossBackward>)
tensor(920.6746, grad_fn=<MseLossBackward>)
tensor(1826.7629, grad_fn=<MseLossBackward>)
tensor(1671.2441, grad_fn=<MseLossBackward>)
tensor(1248.2430, grad_fn=<MseLossBackward>)
tensor(955.1548, grad_fn=<MseLossBackward>)
tensor(388.5066, grad_fn=<MseLossBackward>)
tensor(8136.2925, grad_fn=<MseLossBackward>)
tensor(1837.7285, grad_fn=<MseLossBackward>)
tensor(2921.0701, grad_fn=<MseLossBackward>)
tensor(2994.4138, grad_fn=<MseLossBackward>)
tensor(531.8012, grad_fn=<MseLossBackward>)
tensor(952.8494, grad_fn=<MseLossBackward>)
tensor(5129.0903, grad_fn=<MseLossBackward>)
tensor(2959.1533, grad_fn=<MseLossBackward>)
tensor(672.8079, grad_fn=<MseLossBackward>)
tensor(1147.7057, grad_fn=<MseLossBackward>)
tensor(798.8394, grad_fn=<MseLossBackward>)
tensor(705.5148, grad_fn=<MseLossBackward>)
tensor(932.3516, grad_fn=<MseLossBackward>)
tensor(5405.2109, grad_fn=<MseLossBackward>)
tensor(2929.1572, grad_fn=<MseLossBackward>)
tensor(2091.5344, grad_fn=<MseLossBackward>)
tensor(1282.2517, grad_fn=<MseLossBackward>)
tensor(776.9563, grad_fn=<MseLossBackward>)
tensor(808.2745, grad_fn=<MseLossBackward>)
tensor(2550.7458, grad_fn=<MseLossBackward>)
tensor(890.0053, grad_fn=<MseLossBackward>)
tensor(1102.3761, grad_fn=<MseLossBackward>)
tensor(251.2255, grad_fn=<MseLossBackward>)
tensor(572.6530, grad_fn=<MseLossBackward>)
tensor(822.7465, grad_fn=<MseLossBackward>)
tensor(699.9556, grad_fn=<MseLossBackward>)
tensor(4022.6882, grad_fn=<MseLossBackward>)
tensor(796.3746, grad_fn=<MseLossBackward>)
tensor(1691.4701, grad_fn=<MseLossBackward>)
tensor(1108.8524, grad_fn=<MseLossBackward>)
tensor(832.1433, grad_fn=<MseLossBackward>)
tensor(778.9310, grad_fn=<MseLossBackward>)
tensor(2190.7029, grad_fn=<MseLossBackward>)
tensor(718.3655, grad_fn=<MseLossBackward>)
tensor(887.3622, grad_fn=<MseLossBackward>)
tensor(791.0983, grad_fn=<MseLossBackward>)
tensor(549.5575, grad_fn=<MseLossBackward>)
tensor(3380.0344, grad_fn=<MseLossBackward>)
tensor(993.2054, grad_fn=<MseLossBackward>)
tensor(330.3403, grad_fn=<MseLossBackward>)
tensor(425.5167, grad_fn=<MseLossBackward>)
tensor(605.3979, grad_fn=<MseLossBackward>)
tensor(216.4009, grad_fn=<MseLossBackward>)
tensor(2130.6890, grad_fn=<MseLossBackward>)
